                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6599,                 2.3103,                 1.4423,                0.80863,                0.64756,                0.72769,                0.35209,                 1.6813,                 1.5376,                  1.602,             0.00065766,             0.00065766,             0.00065766
                      2,                 1.6737,                 1.1752,                 1.4621,                0.74814,                0.72206,                0.76182,                0.37423,                 1.7043,                 2.1557,                 1.6443,              0.0012981,              0.0012981,              0.0012981
                      3,                 1.7172,                  1.183,                  1.462,                0.30321,                0.56734,                0.26311,                0.13289,                 1.7244,                 4.3533,                 1.6495,              0.0019121,              0.0019121,              0.0019121
                      4,                 1.7015,                 1.1491,                 1.4514,                0.75774,                0.75358,                0.78114,                0.37619,                  1.722,                 1.3637,                 1.6234,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.6737,                  1.095,                  1.455,                0.76671,                0.70201,                0.76256,                0.36182,                 1.8247,                  1.222,                 1.6821,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.6788,                 1.0338,                 1.4361,                0.82458,                0.76791,                0.82981,                0.40659,                 1.7028,                 1.0815,                 1.5902,              0.0018416,              0.0018416,              0.0018416
                      7,                  1.638,                 1.0244,                 1.4041,                0.89291,                0.82808,                0.86626,                0.45232,                 1.6741,                0.96592,                 1.5512,               0.001802,               0.001802,               0.001802
                      8,                 1.6155,                0.96863,                 1.4049,                0.88559,                0.87106,                0.90969,                0.45985,                 1.5771,                 0.9345,                  1.495,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.5907,                 0.9233,                 1.3877,                0.89739,                0.85673,                0.87876,                0.46287,                 1.5756,                0.86786,                 1.5007,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.5646,                0.88712,                 1.3583,                0.85671,                0.82808,                0.90063,                0.47622,                  1.622,                0.88885,                 1.5108,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.5554,                0.86898,                 1.3686,                0.89405,                0.89459,                0.91661,                0.49331,                  1.577,                0.77303,                 1.4772,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.5853,                 0.8747,                 1.3888,                0.88872,                0.86957,                0.90493,                0.47818,                 1.6375,                 0.7893,                 1.5476,               0.001604,               0.001604,               0.001604
                     13,                 1.5408,                 0.8435,                 1.3469,                0.90147,                0.90258,                0.92274,                 0.4919,                 1.5722,                0.78174,                  1.463,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.5899,                0.87127,                 1.3901,                0.88207,                0.87393,                0.90825,                0.47918,                 1.5755,                0.82458,                 1.4735,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.5331,                0.84226,                 1.3613,                0.86258,                 0.8813,                0.91452,                0.47795,                 1.6058,                0.81421,                 1.5026,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.5142,                0.82774,                  1.331,                0.91196,                0.89971,                0.93264,                0.50519,                 1.5384,                0.75284,                 1.4683,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.5419,                0.81592,                 1.3399,                 0.8987,                0.88976,                0.92203,                0.48097,                 1.5948,                0.70744,                  1.506,               0.001406,               0.001406,               0.001406
                     18,                 1.5485,                0.80799,                 1.3561,                0.89537,                0.85387,                0.90032,                0.47061,                 1.6334,                0.73076,                 1.5044,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.5301,                0.78178,                 1.3407,                0.93222,                 0.9458,                0.95519,                0.52756,                  1.537,                0.65266,                 1.4587,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.4775,                0.79171,                 1.3183,                0.93977,                0.90831,                0.94704,                0.50801,                 1.5525,                0.67323,                 1.4549,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.5145,                0.76104,                 1.3116,                0.93064,                0.90544,                0.94328,                0.51044,                 1.5636,                0.67416,                  1.447,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.4546,                0.75284,                 1.2939,                0.90571,                0.92837,                0.94953,                0.52022,                 1.5169,                0.68706,                 1.4399,               0.001208,               0.001208,               0.001208
                     23,                 1.4807,                0.75053,                 1.3039,                0.93467,                0.92264,                0.94421,                0.51963,                 1.5347,                0.66256,                 1.4469,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.4724,                0.75345,                 1.3162,                0.90944,                0.89197,                0.92603,                0.48867,                 1.6075,                0.72653,                 1.4997,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.4916,                 0.7249,                 1.3169,                0.90786,                0.92837,                0.94111,                0.50819,                 1.5421,                 0.6449,                 1.4605,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.4685,                0.73038,                 1.3046,                0.92361,                0.92264,                0.95791,                0.52928,                  1.556,                0.64136,                 1.4449,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.4455,                0.71463,                 1.3006,                0.94955,                0.90544,                0.95904,                0.52388,                 1.5201,                0.65848,                   1.43,                0.00101,                0.00101,                0.00101
